
Processing printEntranceMomentumTest.C++...
EventNtuple v06_03_00
There are 15985 to go over. Printing momenta from trkseg and trksegmc and their differences.
Track Seg Momentum: 104.711   TrackMC Seg Momentum: 104.694  Resolution: 0.0164413
Track Seg Momentum: 103.341   TrackMC Seg Momentum: 103.505  Resolution: -0.164131
Track Seg Momentum: 104.061   TrackMC Seg Momentum: 103.966  Resolution: 0.0951767
Track Seg Momentum: 104.308   TrackMC Seg Momentum: 104.548  Resolution: -0.239868
Track Seg Momentum: 103.918   TrackMC Seg Momentum: 104.056  Resolution: -0.138443
Track Seg Momentum: 103.953   TrackMC Seg Momentum: 103.871  Resolution: 0.082756
Track Seg Momentum: 104.388   TrackMC Seg Momentum: 104.636  Resolution: -0.247688
Track Seg Momentum: 103.267   TrackMC Seg Momentum: 103.136  Resolution: 0.131279
Track Seg Momentum: 104.451   TrackMC Seg Momentum: 104.493  Resolution: -0.0420609
Track Seg Momentum: 104.27   TrackMC Seg Momentum: 104.312  Resolution: -0.0424728
Track Seg Momentum: 101.216   TrackMC Seg Momentum: 101.4  Resolution: -0.184349
Track Seg Momentum: 104.13   TrackMC Seg Momentum: 104.315  Resolution: -0.184181
Track Seg Momentum: 103.896   TrackMC Seg Momentum: 104.28  Resolution: -0.383713
Track Seg Momentum: 104.018   TrackMC Seg Momentum: 104.314  Resolution: -0.295982
Track Seg Momentum: 103.326   TrackMC Seg Momentum: 103.442  Resolution: -0.116638
Track Seg Momentum: 103.463   TrackMC Seg Momentum: 103.528  Resolution: -0.0641556
Track Seg Momentum: 104.823   TrackMC Seg Momentum: 104.731  Resolution: 0.0921402
Track Seg Momentum: 103.873   TrackMC Seg Momentum: 104.464  Resolution: -0.590576
Track Seg Momentum: 104.25   TrackMC Seg Momentum: 104.138  Resolution: 0.111427
Track Seg Momentum: 103.05   TrackMC Seg Momentum: 103.217  Resolution: -0.166924
Track Seg Momentum: 102.413   TrackMC Seg Momentum: 102.714  Resolution: -0.301804
Track Seg Momentum: 103.102   TrackMC Seg Momentum: 103.72  Resolution: -0.618324
Track Seg Momentum: 104.515   TrackMC Seg Momentum: 104.543  Resolution: -0.0275955
Track Seg Momentum: 102.548   TrackMC Seg Momentum: 102.415  Resolution: 0.132965
Track Seg Momentum: 104.189   TrackMC Seg Momentum: 104.145  Resolution: 0.043457
Track Seg Momentum: 99.2471   TrackMC Seg Momentum: 99.2056  Resolution: 0.0414658
Track Seg Momentum: 103.716   TrackMC Seg Momentum: 103.846  Resolution: -0.130119
Track Seg Momentum: 104.823   TrackMC Seg Momentum: 104.713  Resolution: 0.109421
Track Seg Momentum: 104.225   TrackMC Seg Momentum: 104.244  Resolution: -0.0185165
Track Seg Momentum: 104.055   TrackMC Seg Momentum: 104.197  Resolution: -0.141602
Track Seg Momentum: 85.6972   TrackMC Seg Momentum: 104.583  Resolution: -18.8855
Track Seg Momentum: 103.68   TrackMC Seg Momentum: 103.824  Resolution: -0.14386
Track Seg Momentum: 101.928   TrackMC Seg Momentum: 102.21  Resolution: -0.281487
Track Seg Momentum: 104.065   TrackMC Seg Momentum: 104.155  Resolution: -0.090126
Track Seg Momentum: 103.812   TrackMC Seg Momentum: 103.268  Resolution: 0.54348
Track Seg Momentum: 92.1631   TrackMC Seg Momentum: 104.212  Resolution: -12.0489
Track Seg Momentum: 104.231   TrackMC Seg Momentum: 104.229  Resolution: 0.00118256
Track Seg Momentum: 104.621   TrackMC Seg Momentum: 104.753  Resolution: -0.132225
Track Seg Momentum: 104.195   TrackMC Seg Momentum: 104.384  Resolution: -0.189545
Track Seg Momentum: 97.9756   TrackMC Seg Momentum: 104.562  Resolution: -6.58686
Track Seg Momentum: 106.112   TrackMC Seg Momentum: 104.187  Resolution: 1.92481
Track Seg Momentum: 104.608   TrackMC Seg Momentum: 104.54  Resolution: 0.0676193
Track Seg Momentum: 102.457   TrackMC Seg Momentum: 102.534  Resolution: -0.0772629
Track Seg Momentum: 103.971   TrackMC Seg Momentum: 104.07  Resolution: -0.0994034
Track Seg Momentum: 103.76   TrackMC Seg Momentum: 103.722  Resolution: 0.0374069
Track Seg Momentum: 100.239   TrackMC Seg Momentum: 100.249  Resolution: -0.0102768
Track Seg Momentum: 104.752   TrackMC Seg Momentum: 104.736  Resolution: 0.0163422
Track Seg Momentum: 104.094   TrackMC Seg Momentum: 104.234  Resolution: -0.139275
Track Seg Momentum: 105.323   TrackMC Seg Momentum: 104.582  Resolution: 0.74118
Track Seg Momentum: 103.853   TrackMC Seg Momentum: 104.253  Resolution: -0.400116
Track Seg Momentum: 104.498   TrackMC Seg Momentum: 104.312  Resolution: 0.186707
Track Seg Momentum: 104.642   TrackMC Seg Momentum: 104.649  Resolution: -0.00736237
Track Seg Momentum: 104.099   TrackMC Seg Momentum: 103.873  Resolution: 0.226318
Track Seg Momentum: 104.704   TrackMC Seg Momentum: 104.693  Resolution: 0.0112762
Track Seg Momentum: 105.142   TrackMC Seg Momentum: 104.808  Resolution: 0.334023
Track Seg Momentum: 104.522   TrackMC Seg Momentum: 104.625  Resolution: -0.102715
Track Seg Momentum: 104.686   TrackMC Seg Momentum: 104.697  Resolution: -0.011673
Track Seg Momentum: 103.827   TrackMC Seg Momentum: 103.929  Resolution: -0.101692
Track Seg Momentum: 102.392   TrackMC Seg Momentum: 102.725  Resolution: -0.332825
Track Seg Momentum: 104.824   TrackMC Seg Momentum: 104.697  Resolution: 0.127289
Track Seg Momentum: 104.784   TrackMC Seg Momentum: 104.65  Resolution: 0.134293
Track Seg Momentum: 101.942   TrackMC Seg Momentum: 101.903  Resolution: 0.0391235
Track Seg Momentum: 103.986   TrackMC Seg Momentum: 104.052  Resolution: -0.0660629
